frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-2.585441e+00
1;0.010000;-1.980704e+00
2;0.020000;-1.545515e+00
3;0.030000;-1.446121e+00
4;0.040000;-1.498505e+00
5;0.050000;-1.627368e+00
6;0.060000;-1.673609e+00
7;0.070000;-1.497738e+00
8;0.080000;-1.618030e+00
9;0.090000;-1.577838e+00
10;0.100000;-1.455598e+00
11;0.110000;-1.499721e+00
12;0.120000;-1.566363e+00
13;0.130000;-1.970801e+00
14;0.140000;-2.817391e+00
15;0.150000;-3.197248e+00
16;0.160000;-2.959812e+00
17;0.170000;-2.979274e+00
18;0.180000;-2.903287e+00
19;0.190000;-2.924110e+00
20;0.200000;-2.841319e+00
21;0.210000;-2.771884e+00
22;0.220000;-2.797654e+00
23;0.230000;-2.909644e+00
24;0.240000;-3.016215e+00
25;0.250000;-3.336837e+00
